,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
250,Male,49,1,50.0,0,1-2 Year,Yes,27682.0,124.0,17,1
251,Female,37,1,28.0,0,> 2 Years,Yes,37664.0,124.0,28,1
252,Male,33,1,28.0,0,1-2 Year,Yes,48740.0,26.0,240,1
253,Female,58,1,28.0,0,1-2 Year,Yes,35224.0,3.0,273,1
254,Female,40,1,28.0,0,1-2 Year,Yes,29463.0,154.0,174,1
255,Male,41,1,47.0,0,1-2 Year,Yes,28274.0,26.0,147,1
256,Male,41,1,41.0,0,1-2 Year,Yes,21262.0,124.0,33,1
257,Male,52,1,11.0,0,1-2 Year,Yes,48868.0,29.0,198,1
258,Male,45,1,35.0,0,1-2 Year,Yes,41155.0,10.0,93,1
259,Male,56,1,18.0,0,1-2 Year,Yes,26831.0,26.0,31,1
260,Male,21,1,8.0,0,< 1 Year,Yes,40693.0,26.0,187,1
261,Male,55,1,50.0,0,1-2 Year,Yes,39436.0,8.0,208,1
262,Female,42,1,28.0,0,1-2 Year,Yes,36067.0,154.0,208,1
263,Male,61,1,28.0,0,1-2 Year,Yes,41417.0,122.0,218,1
264,Female,59,1,28.0,0,1-2 Year,Yes,60801.0,122.0,192,1
265,Male,49,1,28.0,0,1-2 Year,Yes,43512.0,124.0,84,1
266,Male,43,1,28.0,0,> 2 Years,Yes,55464.0,26.0,250,1
267,Male,54,1,41.0,0,> 2 Years,Yes,27181.0,12.0,20,1
268,Male,43,1,28.0,0,1-2 Year,Yes,47349.0,124.0,190,1
269,Male,48,1,33.0,0,1-2 Year,Yes,27435.0,124.0,298,1
270,Male,46,1,28.0,0,1-2 Year,Yes,29283.0,26.0,94,1
271,Male,49,1,28.0,0,> 2 Years,Yes,37469.0,26.0,93,1
272,Male,59,1,28.0,0,> 2 Years,Yes,43990.0,26.0,62,1
273,Male,53,1,28.0,0,1-2 Year,Yes,37431.0,124.0,127,1
274,Male,51,1,28.0,0,1-2 Year,Yes,44596.0,26.0,96,1
275,Male,75,1,43.0,0,> 2 Years,Yes,30572.0,26.0,24,1
276,Female,31,1,36.0,0,1-2 Year,Yes,2630.0,156.0,262,1
277,Male,46,1,28.0,0,1-2 Year,Yes,34498.0,52.0,243,1
278,Female,60,1,29.0,0,1-2 Year,Yes,2630.0,26.0,196,1
279,Male,55,1,15.0,0,1-2 Year,Yes,2630.0,156.0,224,1
280,Male,29,1,14.0,0,1-2 Year,Yes,2630.0,26.0,88,1
281,Male,36,1,38.0,0,1-2 Year,Yes,26728.0,157.0,274,1
282,Male,49,1,28.0,0,> 2 Years,Yes,39256.0,26.0,88,1
283,Male,37,1,33.0,0,1-2 Year,Yes,28814.0,124.0,213,1
284,Male,31,1,28.0,0,< 1 Year,Yes,2630.0,158.0,194,1
285,Female,29,1,8.0,0,1-2 Year,Yes,2630.0,157.0,269,1
286,Male,55,1,28.0,0,1-2 Year,Yes,42207.0,26.0,33,1
287,Male,57,1,28.0,0,> 2 Years,Yes,39276.0,26.0,252,1
288,Male,52,1,28.0,0,1-2 Year,Yes,43948.0,124.0,84,1
289,Male,43,1,29.0,0,1-2 Year,Yes,2630.0,26.0,100,1
290,Female,33,1,8.0,0,< 1 Year,Yes,40498.0,124.0,248,1
291,Female,44,1,28.0,0,1-2 Year,Yes,55011.0,26.0,227,1
292,Female,62,1,30.0,0,1-2 Year,Yes,26915.0,26.0,111,1
293,Male,38,1,40.0,0,1-2 Year,Yes,33135.0,26.0,269,1
294,Male,53,1,35.0,0,1-2 Year,Yes,34377.0,26.0,239,1
295,Male,45,1,29.0,0,1-2 Year,Yes,2630.0,156.0,185,1
296,Female,31,1,28.0,0,< 1 Year,Yes,40944.0,124.0,218,1
297,Female,36,1,8.0,0,1-2 Year,Yes,62530.0,26.0,145,1
298,Male,46,1,28.0,0,1-2 Year,Yes,46152.0,124.0,215,1
299,Male,22,1,47.0,0,< 1 Year,Yes,39216.0,26.0,268,1
300,Female,31,1,28.0,0,< 1 Year,Yes,28163.0,152.0,227,1
301,Female,41,1,41.0,0,1-2 Year,Yes,40265.0,124.0,170,1
302,Male,45,1,8.0,0,1-2 Year,Yes,38205.0,125.0,10,1
303,Female,31,1,27.0,0,1-2 Year,Yes,24194.0,124.0,62,1
304,Male,52,1,25.0,0,1-2 Year,Yes,2630.0,124.0,209,1
305,Female,51,1,28.0,0,1-2 Year,Yes,45733.0,124.0,297,1
306,Female,37,1,28.0,0,1-2 Year,Yes,37538.0,26.0,55,1
307,Female,43,1,8.0,0,1-2 Year,Yes,2630.0,157.0,217,1
308,Male,52,1,8.0,0,1-2 Year,Yes,36788.0,26.0,17,1
309,Male,53,1,28.0,0,1-2 Year,Yes,41500.0,26.0,160,1
310,Male,33,1,28.0,0,< 1 Year,Yes,48682.0,122.0,24,1
311,Female,53,1,28.0,0,1-2 Year,Yes,26282.0,26.0,163,1
312,Female,43,1,36.0,0,1-2 Year,Yes,30202.0,124.0,206,1
313,Male,37,1,7.0,0,1-2 Year,Yes,2630.0,157.0,93,1
314,Male,51,1,28.0,0,> 2 Years,Yes,50661.0,26.0,12,1
315,Male,41,1,28.0,0,1-2 Year,Yes,34776.0,26.0,196,1
316,Male,50,1,28.0,0,1-2 Year,Yes,42234.0,26.0,35,1
317,Male,21,1,3.0,0,< 1 Year,Yes,28213.0,160.0,93,1
318,Female,37,1,28.0,0,1-2 Year,Yes,38539.0,154.0,118,1
319,Female,42,1,28.0,0,1-2 Year,Yes,48440.0,26.0,199,1
320,Male,43,1,8.0,0,1-2 Year,Yes,36937.0,7.0,169,1
321,Female,46,1,48.0,0,1-2 Year,Yes,2630.0,26.0,272,1
322,Female,49,1,8.0,0,1-2 Year,Yes,39645.0,124.0,54,1
323,Male,52,1,28.0,0,1-2 Year,Yes,49120.0,55.0,234,1
324,Male,57,1,30.0,0,1-2 Year,Yes,27643.0,124.0,74,1
325,Male,40,1,28.0,0,1-2 Year,Yes,29161.0,124.0,267,1
326,Female,40,1,28.0,0,1-2 Year,Yes,43319.0,124.0,231,1
327,Female,33,1,46.0,1,1-2 Year,No,53169.0,156.0,110,1
328,Male,59,1,28.0,0,> 2 Years,Yes,2630.0,124.0,33,1
329,Male,24,1,11.0,1,< 1 Year,Yes,29271.0,152.0,21,1
330,Male,41,1,3.0,0,1-2 Year,Yes,26140.0,124.0,217,1
331,Female,71,1,6.0,0,1-2 Year,Yes,23605.0,154.0,73,1
332,Female,49,1,28.0,0,1-2 Year,Yes,58263.0,26.0,220,1
333,Female,63,1,1.0,0,1-2 Year,Yes,2630.0,124.0,198,1
334,Male,40,1,11.0,0,1-2 Year,Yes,36057.0,124.0,128,1
335,Male,80,1,3.0,0,> 2 Years,Yes,44585.0,26.0,33,1
336,Female,51,1,28.0,0,1-2 Year,Yes,30361.0,26.0,223,1
337,Male,50,1,28.0,0,> 2 Years,Yes,48258.0,26.0,149,1
338,Female,34,1,28.0,0,1-2 Year,Yes,30347.0,26.0,166,1
339,Male,57,1,5.0,0,1-2 Year,Yes,28505.0,122.0,259,1
340,Male,58,1,28.0,0,> 2 Years,Yes,34789.0,26.0,274,1
341,Male,35,1,3.0,0,1-2 Year,Yes,30216.0,124.0,119,1
342,Female,44,1,8.0,0,1-2 Year,Yes,2630.0,154.0,279,1
343,Male,49,1,35.0,0,1-2 Year,Yes,46253.0,26.0,128,1
344,Male,38,1,46.0,0,1-2 Year,Yes,17642.0,26.0,203,1
345,Male,56,1,41.0,0,1-2 Year,Yes,27065.0,26.0,59,1
346,Female,42,1,8.0,0,1-2 Year,Yes,36589.0,26.0,233,1
347,Male,38,1,18.0,0,1-2 Year,Yes,2630.0,26.0,71,1
348,Male,33,1,28.0,0,< 1 Year,Yes,50852.0,26.0,226,1
349,Female,34,1,2.0,0,1-2 Year,Yes,2630.0,157.0,198,1
350,Male,41,1,29.0,0,1-2 Year,Yes,2630.0,124.0,276,1
351,Male,46,1,29.0,0,1-2 Year,Yes,47847.0,26.0,25,1
352,Female,46,1,15.0,0,1-2 Year,Yes,37717.0,124.0,178,1
353,Female,41,1,48.0,0,> 2 Years,Yes,2630.0,26.0,152,1
354,Male,39,1,8.0,0,1-2 Year,Yes,42198.0,154.0,134,1
